접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-07-0001,2025-07-01,가로등고장,도시과,완료,7
2025-07-0002,2025-07-06,도로보수,건설과,처리중,4
2025-07-0003,2025-07-06,불법광고물,도시과,처리중,6
2025-07-0004,2025-07-08,주차불편,교통과,완료,4
2025-07-0005,2025-07-09,도로보수,건설과,완료,7
2025-07-0006,2025-07-11,버스정류장불편,교통과,완료,2
2025-07-0007,2025-07-14,주차불편,교통과,완료,9
2025-07-0008,2025-07-14,쓰레기수거,환경과,접수,0
2025-07-0009,2025-07-22,버스정류장불편,교통과,완료,2
2025-07-0010,2025-07-24,주차불편,교통과,완료,10
2025-07-0011,2025-07-24,주차불편,교통과,완료,2
2025-07-0012,2025-07-26,가로수정비,공원녹지과,처리중,6
2025-07-0013,2025-07-26,민원처리지연,민원여권과,완료,7
2025-07-0014,2025-07-26,가로수정비,공원녹지과,접수,0
2025-07-0015,2025-07-26,도로파손,건설과,처리중,10
2025-07-0016,2025-07-26,불법광고물,도시과,완료,1
2025-07-0017,2025-07-28,민원처리지연,민원여권과,처리중,1
2025-07-0018,2025-07-29,공원시설,공원녹지과,접수,0
2025-07-0019,2025-07-30,상하수도,상하수도과,완료,6
2025-07-0020,2025-07-30,쓰레기수거,환경과,완료,6
