접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-11-0001,2025-11-01,공원시설,공원녹지과,처리중,8
2025-11-0002,2025-11-04,쓰레기수거,환경과,접수,0
2025-11-0003,2025-11-05,주차불편,교통과,완료,4
2025-11-0004,2025-11-06,도로파손,건설과,완료,8
2025-11-0005,2025-11-09,불법광고물,도시과,처리중,10
2025-11-0006,2025-11-12,가로수정비,공원녹지과,처리중,6
2025-11-0007,2025-11-14,도로보수,건설과,처리중,6
2025-11-0008,2025-11-14,가로등고장,도시과,처리중,4
2025-11-0009,2025-11-14,버스정류장불편,교통과,완료,6
2025-11-0010,2025-11-15,주차불편,교통과,접수,0
2025-11-0011,2025-11-16,민원처리지연,민원여권과,완료,9
2025-11-0012,2025-11-17,도로보수,건설과,접수,0
2025-11-0013,2025-11-20,불법광고물,도시과,완료,4
2025-11-0014,2025-11-21,민원처리지연,민원여권과,처리중,8
2025-11-0015,2025-11-21,공원시설,공원녹지과,완료,8
2025-11-0016,2025-11-23,상하수도,상하수도과,처리중,8
2025-11-0017,2025-11-24,도로보수,건설과,완료,5
2025-11-0018,2025-11-26,불법광고물,도시과,처리중,4
2025-11-0019,2025-11-27,주차불편,교통과,접수,0
2025-11-0020,2025-11-27,버스정류장불편,교통과,처리중,9
2025-11-0021,2025-11-28,공원시설,공원녹지과,완료,7
2025-11-0022,2025-11-29,민원처리지연,민원여권과,접수,0
2025-11-0023,2025-11-30,버스정류장불편,교통과,완료,8
