접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-09-0001,2025-09-11,가로등고장,도시과,처리중,8
2025-09-0002,2025-09-14,주차불편,교통과,완료,5
2025-09-0003,2025-09-15,공원시설,공원녹지과,처리중,4
2025-09-0004,2025-09-15,주차불편,교통과,처리중,2
2025-09-0005,2025-09-15,민원처리지연,민원여권과,완료,4
2025-09-0006,2025-09-17,주차불편,교통과,완료,6
2025-09-0007,2025-09-17,공원시설,공원녹지과,완료,3
2025-09-0008,2025-09-18,가로등고장,도시과,완료,7
2025-09-0009,2025-09-18,민원처리지연,민원여권과,완료,4
2025-09-0010,2025-09-20,도로파손,건설과,처리중,7
2025-09-0011,2025-09-20,버스정류장불편,교통과,접수,0
2025-09-0012,2025-09-22,소음민원,환경과,처리중,1
2025-09-0013,2025-09-24,불법광고물,도시과,처리중,7
2025-09-0014,2025-09-25,가로수정비,공원녹지과,완료,10
2025-09-0015,2025-09-26,쓰레기수거,환경과,처리중,1
2025-09-0016,2025-09-27,버스정류장불편,교통과,완료,7
2025-09-0017,2025-09-27,쓰레기수거,환경과,접수,0
2025-09-0018,2025-09-29,민원처리지연,민원여권과,접수,0
2025-09-0019,2025-09-29,가로수정비,공원녹지과,완료,8
2025-09-0020,2025-09-30,불법광고물,도시과,완료,7
