접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-06-0001,2025-06-04,가로수정비,공원녹지과,완료,6
2025-06-0002,2025-06-04,불법광고물,도시과,완료,9
2025-06-0003,2025-06-04,소음민원,환경과,완료,1
2025-06-0004,2025-06-05,도로파손,건설과,처리중,5
2025-06-0005,2025-06-05,도로보수,건설과,완료,6
2025-06-0006,2025-06-09,가로등고장,도시과,완료,3
2025-06-0007,2025-06-09,민원처리지연,민원여권과,처리중,9
2025-06-0008,2025-06-10,민원처리지연,민원여권과,처리중,9
2025-06-0009,2025-06-10,도로보수,건설과,완료,2
2025-06-0010,2025-06-18,민원처리지연,민원여권과,완료,9
2025-06-0011,2025-06-18,도로보수,건설과,완료,10
2025-06-0012,2025-06-22,공원시설,공원녹지과,완료,7
2025-06-0013,2025-06-22,가로등고장,도시과,완료,5
2025-06-0014,2025-06-24,버스정류장불편,교통과,완료,6
2025-06-0015,2025-06-27,불법광고물,도시과,완료,2
2025-06-0016,2025-06-29,버스정류장불편,교통과,접수,0
2025-06-0017,2025-06-29,쓰레기수거,환경과,접수,0
2025-06-0018,2025-06-30,민원처리지연,민원여권과,완료,4
