접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-05-0001,2025-05-02,가로수정비,공원녹지과,완료,4
2025-05-0002,2025-05-02,쓰레기수거,환경과,완료,10
2025-05-0003,2025-05-02,불법광고물,도시과,접수,0
2025-05-0004,2025-05-03,가로수정비,공원녹지과,완료,10
2025-05-0005,2025-05-03,도로파손,건설과,처리중,10
2025-05-0006,2025-05-06,가로수정비,공원녹지과,접수,0
2025-05-0007,2025-05-06,버스정류장불편,교통과,완료,4
2025-05-0008,2025-05-11,상하수도,상하수도과,완료,4
2025-05-0009,2025-05-16,주차불편,교통과,처리중,3
2025-05-0010,2025-05-17,상하수도,상하수도과,완료,8
2025-05-0011,2025-05-17,버스정류장불편,교통과,완료,1
2025-05-0012,2025-05-17,소음민원,환경과,접수,0
2025-05-0013,2025-05-19,가로수정비,공원녹지과,완료,2
2025-05-0014,2025-05-24,공원시설,공원녹지과,완료,9
2025-05-0015,2025-05-28,주차불편,교통과,완료,6
2025-05-0016,2025-05-28,도로파손,건설과,완료,6
2025-05-0017,2025-05-30,주차불편,교통과,완료,8
2025-05-0018,2025-05-31,공원시설,공원녹지과,완료,10
