접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-04-0001,2025-04-04,쓰레기수거,환경과,완료,7
2025-04-0002,2025-04-04,쓰레기수거,환경과,처리중,1
2025-04-0003,2025-04-05,상하수도,상하수도과,완료,1
2025-04-0004,2025-04-07,쓰레기수거,환경과,완료,2
2025-04-0005,2025-04-07,불법광고물,도시과,완료,4
2025-04-0006,2025-04-08,공원시설,공원녹지과,처리중,3
2025-04-0007,2025-04-09,쓰레기수거,환경과,완료,5
2025-04-0008,2025-04-14,소음민원,환경과,완료,2
2025-04-0009,2025-04-16,소음민원,환경과,접수,0
2025-04-0010,2025-04-16,도로파손,건설과,완료,9
2025-04-0011,2025-04-16,도로보수,건설과,완료,4
2025-04-0012,2025-04-18,가로등고장,도시과,처리중,8
2025-04-0013,2025-04-19,소음민원,환경과,완료,7
2025-04-0014,2025-04-19,도로보수,건설과,완료,7
2025-04-0015,2025-04-22,도로보수,건설과,처리중,5
2025-04-0016,2025-04-22,소음민원,환경과,완료,7
2025-04-0017,2025-04-24,민원처리지연,민원여권과,접수,0
2025-04-0018,2025-04-26,상하수도,상하수도과,처리중,3
2025-04-0019,2025-04-26,불법광고물,도시과,완료,4
2025-04-0020,2025-04-29,도로보수,건설과,접수,0
2025-04-0021,2025-04-30,민원처리지연,민원여권과,접수,0
