접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-08-0001,2025-08-04,가로등고장,도시과,접수,0
2025-08-0002,2025-08-05,가로수정비,공원녹지과,완료,7
2025-08-0003,2025-08-07,공원시설,공원녹지과,완료,5
2025-08-0004,2025-08-10,주차불편,교통과,완료,7
2025-08-0005,2025-08-10,가로수정비,공원녹지과,접수,0
2025-08-0006,2025-08-10,상하수도,상하수도과,완료,8
2025-08-0007,2025-08-11,소음민원,환경과,처리중,4
2025-08-0008,2025-08-13,공원시설,공원녹지과,처리중,3
2025-08-0009,2025-08-13,상하수도,상하수도과,완료,5
2025-08-0010,2025-08-14,공원시설,공원녹지과,접수,0
2025-08-0011,2025-08-14,버스정류장불편,교통과,완료,4
2025-08-0012,2025-08-17,상하수도,상하수도과,완료,4
2025-08-0013,2025-08-18,불법광고물,도시과,완료,1
2025-08-0014,2025-08-22,도로보수,건설과,완료,8
2025-08-0015,2025-08-22,가로수정비,공원녹지과,완료,8
2025-08-0016,2025-08-22,쓰레기수거,환경과,접수,0
2025-08-0017,2025-08-22,불법광고물,도시과,처리중,8
2025-08-0018,2025-08-23,쓰레기수거,환경과,완료,3
2025-08-0019,2025-08-24,상하수도,상하수도과,완료,2
2025-08-0020,2025-08-24,쓰레기수거,환경과,완료,3
2025-08-0021,2025-08-28,민원처리지연,민원여권과,접수,0
2025-08-0022,2025-08-29,소음민원,환경과,완료,9
2025-08-0023,2025-08-31,불법광고물,도시과,완료,8
