접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-10-0001,2025-10-01,가로등고장,도시과,처리중,3
2025-10-0002,2025-10-01,도로보수,건설과,완료,7
2025-10-0003,2025-10-01,버스정류장불편,교통과,완료,8
2025-10-0004,2025-10-03,버스정류장불편,교통과,완료,7
2025-10-0005,2025-10-05,주차불편,교통과,처리중,5
2025-10-0006,2025-10-06,도로파손,건설과,처리중,1
2025-10-0007,2025-10-11,민원처리지연,민원여권과,접수,0
2025-10-0008,2025-10-13,도로보수,건설과,완료,4
2025-10-0009,2025-10-13,상하수도,상하수도과,완료,1
2025-10-0010,2025-10-13,도로보수,건설과,완료,4
2025-10-0011,2025-10-14,도로보수,건설과,접수,0
2025-10-0012,2025-10-15,가로등고장,도시과,완료,3
2025-10-0013,2025-10-18,소음민원,환경과,완료,10
2025-10-0014,2025-10-19,불법광고물,도시과,처리중,5
2025-10-0015,2025-10-19,버스정류장불편,교통과,완료,10
2025-10-0016,2025-10-20,가로수정비,공원녹지과,완료,3
2025-10-0017,2025-10-21,주차불편,교통과,완료,10
2025-10-0018,2025-10-22,도로보수,건설과,완료,10
2025-10-0019,2025-10-22,상하수도,상하수도과,처리중,7
2025-10-0020,2025-10-22,민원처리지연,민원여권과,완료,2
2025-10-0021,2025-10-24,가로수정비,공원녹지과,완료,2
2025-10-0022,2025-10-26,민원처리지연,민원여권과,완료,10
2025-10-0023,2025-10-27,도로파손,건설과,접수,0
2025-10-0024,2025-10-30,도로보수,건설과,완료,9
2025-10-0025,2025-10-30,쓰레기수거,환경과,완료,2
