접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-01-0001,2025-01-01,불법광고물,도시과,접수,0
2025-01-0002,2025-01-01,가로수정비,공원녹지과,완료,9
2025-01-0003,2025-01-02,불법광고물,도시과,접수,0
2025-01-0004,2025-01-03,쓰레기수거,환경과,완료,8
2025-01-0005,2025-01-03,가로수정비,공원녹지과,완료,1
2025-01-0006,2025-01-04,가로등고장,도시과,처리중,6
2025-01-0007,2025-01-05,주차불편,교통과,완료,4
2025-01-0008,2025-01-07,버스정류장불편,교통과,완료,2
2025-01-0009,2025-01-08,쓰레기수거,환경과,완료,6
2025-01-0010,2025-01-08,버스정류장불편,교통과,접수,0
2025-01-0011,2025-01-09,주차불편,교통과,완료,8
2025-01-0012,2025-01-14,공원시설,공원녹지과,완료,7
2025-01-0013,2025-01-18,도로파손,건설과,접수,0
2025-01-0014,2025-01-19,주차불편,교통과,접수,0
2025-01-0015,2025-01-22,버스정류장불편,교통과,접수,0
2025-01-0016,2025-01-24,불법광고물,도시과,완료,1
2025-01-0017,2025-01-24,상하수도,상하수도과,완료,5
2025-01-0018,2025-01-24,도로파손,건설과,완료,2
2025-01-0019,2025-01-29,쓰레기수거,환경과,완료,8
