접수번호,접수일,민원유형,담당부서,처리상태,처리일수
2025-12-0001,2025-12-04,공원시설,공원녹지과,접수,0
2025-12-0002,2025-12-04,주차불편,교통과,완료,4
2025-12-0003,2025-12-06,주차불편,교통과,완료,6
2025-12-0004,2025-12-07,가로등고장,도시과,완료,1
2025-12-0005,2025-12-07,민원처리지연,민원여권과,접수,0
2025-12-0006,2025-12-07,가로등고장,도시과,완료,1
2025-12-0007,2025-12-08,도로보수,건설과,접수,0
2025-12-0008,2025-12-09,주차불편,교통과,완료,8
2025-12-0009,2025-12-09,도로파손,건설과,완료,10
2025-12-0010,2025-12-10,주차불편,교통과,처리중,8
2025-12-0011,2025-12-11,소음민원,환경과,완료,3
2025-12-0012,2025-12-16,도로보수,건설과,완료,8
2025-12-0013,2025-12-18,도로파손,건설과,완료,7
2025-12-0014,2025-12-19,소음민원,환경과,완료,10
2025-12-0015,2025-12-23,상하수도,상하수도과,완료,3
2025-12-0016,2025-12-24,가로등고장,도시과,접수,0
2025-12-0017,2025-12-24,주차불편,교통과,완료,4
2025-12-0018,2025-12-24,도로파손,건설과,접수,0
2025-12-0019,2025-12-24,쓰레기수거,환경과,접수,0
2025-12-0020,2025-12-25,가로수정비,공원녹지과,접수,0
2025-12-0021,2025-12-25,불법광고물,도시과,접수,0
2025-12-0022,2025-12-31,쓰레기수거,환경과,처리중,8
